date,open,high,low,close,volume,norders,mid_price,lbband,hbband,vvolat,mavg_12,mavg_26,ema_12,ema_26,macd,rsi,momentum
2020-10-01 09:30:00,4411100.0,4411100.0,4388000.0,4396900.0,71876.0,1448,4399550.0,4396900.0,4396900.0,0.0,4396900.0,4396900.0,4396900.0,4396900.0,0.0,100.0,0.0
2020-10-01 09:30:30,4396000.0,4403900.0,4390000.0,4392800.0,17654.0,384,4396950.0,4390750.0,4398950.0,0.0,4394850.0,4394850.0,4396269.230769231,4396596.296296297,-327.0655270656572,0.0,0.0
2020-10-01 09:31:00,4392300.0,4406800.0,4388500.0,4404200.0,17831.0,474,4397650.0,4388537.162143335,4407396.171189999,0.0,4397966.666666667,4397966.666666667,4397489.349112426,4397159.533607682,329.8155047437176,74.9647721935181,0.0
2020-10-01 09:31:30,4403000.0,4417600.0,4400200.0,4410700.0,29214.0,687,4408900.0,4387428.119662379,4414871.880337621,0.0,4401150.0,4401150.0,4399521.756941283,4398162.531118223,1359.2258230587468,82.85622386619491,0.0
2020-10-01 09:32:00,4410000.0,4410000.0,4388500.0,4398000.0,24186.0,611,4399250.0,4387990.73825,4413049.26175,0.0,4400520.0,4400520.0,4399287.640488778,4398150.491776134,1137.1487126443535,49.81571307767742,0.0
2020-10-01 09:32:30,4397900.0,4400800.0,4383200.0,4388200.0,20370.0,543,4392000.0,4383798.939432287,4413134.393901048,0.0,4398466.666666667,4398466.666666667,4397581.849644351,4397413.418311236,168.43133311532438,37.41654950866363,0.0
2020-10-01 09:33:00,4388700.0,4394600.0,4381200.0,4385700.0,14724.0,413,4387900.0,4380387.446740565,4412898.26754515,0.0,4396642.857142857,4396642.857142857,4395753.872775989,4396545.757695588,-791.8849195996298,35.02178438739041,0.0
2020-10-01 09:33:30,4385300.0,4395000.0,4383100.0,4389400.0,15904.0,342,4389050.0,4379795.123295128,4411679.876704872,0.0,4395737.5,4395737.5,4394776.353887375,4396016.44231073,-1240.0884233545512,41.0366727388088,0.0
2020-10-01 09:34:00,4389700.0,4397400.0,4386100.0,4394900.0,16129.0,367,4391750.0,4380604.6125567565,4410684.276332132,0.0,4395644.444444444,4395644.444444444,4394795.376366241,4395933.742880305,-1138.3665140643716,48.64651049861961,0.0
2020-10-01 09:34:30,4396900.0,4398200.0,4390000.0,4396100.0,11383.0,267,4394100.0,4381419.3447942985,4409960.6552057015,15730.0,4395690.0,4395690.0,4394996.087694512,4395946.058222505,-949.9705279935154,50.157956024174226,0.0
